time_s,amplitude
0.326,-0.043809
0.327,-0.039339
0.328,-0.036657
0.329,-0.043511
0.33,-0.051856
0.331,-0.061095
0.332,-0.063181
0.333,-0.059307
0.334,-0.060797
0.335,-0.069439
0.336,-0.086129
0.337,-0.097752
0.338,-0.09805
0.339,-0.093877
0.34,-0.078678
0.341,-0.056326
0.342,-0.042617
0.343,-0.039637
0.344,-0.033379
0.345,-0.017583
0.346,0.0077486
0.347,0.029206
0.348,0.040531
0.349,0.043213
0.35,0.03159
0.351,0.022948
0.352,0.014305
0.353,0.0029802
0.354,0.0023842
0.355,-0.0023842
0.356,-0.0092387
0.357,-0.019968
0.358,-0.031888
0.359,-0.033975
0.36,-0.028908
0.361,-0.023246
0.362,-0.02712
0.363,-0.019073
0.364,-0.0020862
0.365,0.0020862
0.366,0.0086427
0.367,0.011623
0.368,0.0074506
0.369,0.0029802
0.37,-0.0056624
0.371,-0.016689
0.372,-0.018477
0.373,-0.013113
0.374,-0.015795
0.375,-0.021458
0.376,-0.030696
0.377,-0.040233
0.378,-0.038445
0.379,-0.035167
0.38,-0.032187
0.381,-0.033379
0.382,-0.036955
0.383,-0.038147
0.384,-0.041425
0.385,-0.044107
0.386,-0.054538
0.387,-0.056922
0.388,-0.050366
0.389,-0.055134
0.39,-0.050664
0.391,-0.048578
0.392,-0.052154
0.393,-0.047684
0.394,-0.047684
0.395,-0.040233
0.396,-0.02861
0.397,-0.015199
0.398,0.0020862
0.399,0.0086427
0.4,0.0077486
0.401,-0.0023842
0.402,-0.012815
0.403,-0.016987
0.404,-0.020862
0.405,-0.017583
0.406,-0.015497
0.407,-0.016391
0.408,-0.01967
0.409,-0.025034
0.41,-0.026226
0.411,-0.021458
0.412,-0.0065565
0.413,0.0068545
0.414,0.011921
0.415,0.014603
0.416,0.011921
0.417,0.010729
0.418,0.010729
0.419,0.0044703
0.42,-0.00089407
0.421,-0.0044703
0.422,-0.012815
0.423,-0.017583
0.424,-0.013113
0.425,-0.014305
0.426,-0.018179
0.427,-0.017881
0.428,-0.023246
0.429,-0.023246
0.43,-0.014007
0.431,-0.0098348
0.432,-0.014007
0.433,-0.021756
0.434,-0.030994
0.435,-0.039637
0.436,-0.041127
0.437,-0.047982
0.438,-0.057518
0.439,-0.050068
0.44,-0.039339
0.441,-0.03159
0.442,-0.023842
0.443,-0.025034
0.444,-0.02712
0.445,-0.02116
0.446,-0.014901
0.447,-0.012815
0.448,-0.015497
0.449,-0.026226
0.45,-0.029802
0.451,-0.033677
0.452,-0.05126
0.453,-0.061989
0.454,-0.064075
0.455,-0.066161
0.456,-0.071824
0.457,-0.075698
0.458,-0.066459
0.459,-0.05275
0.46,-0.037551
0.461,-0.030696
0.462,-0.028014
0.463,-0.011623
0.464,0.0017881
0.465,0.0089407
0.466,0.0074506
0.467,-0.0041723
0.468,-0.0047684
0.469,-0.0011921
0.47,-0.0026822
0.471,-0.0086427
0.472,-0.012219
0.473,-0.011623
0.474,-0.01967
0.475,-0.026226
0.476,-0.028014
0.477,-0.021756
0.478,-0.014305
0.479,-0.01967
0.48,-0.028014
0.481,-0.034273
0.482,-0.030994
0.483,-0.02712
0.484,-0.029206
0.485,-0.02712
0.486,-0.02712
0.487,-0.019372
0.488,-0.011027
0.489,-0.013709
0.49,-0.011623
0.491,-0.0077486
0.492,-0.010729
0.493,-0.022054
0.494,-0.034869
0.495,-0.036061
0.496,-0.033379
0.497,-0.036955
0.498,-0.039935
0.499,-0.039637
0.5,-0.048578
0.501,-0.061095
0.502,-0.064373
0.503,-0.056028
0.504,-0.041127
0.505,-0.034571
0.506,-0.038743
0.507,-0.042021
0.508,-0.036359
0.509,-0.028312
0.51,-0.028014
0.511,-0.023246
0.512,-0.016093
0.513,-0.016987
0.514,-0.01967
0.515,-0.025034
0.516,-0.032187
0.517,-0.02861
0.518,-0.023544
0.519,-0.028014
0.52,-0.029504
0.521,-0.020564
0.522,-0.010431
0.523,-0.0074506
0.524,-0.0044703
0.525,0.0011921
0.526,0.010729
0.527,0.021458
0.528,0.02116
0.529,0.021756
0.53,0.028908
0.531,0.032485
0.532,0.027418
0.533,0.014901
0.534,0.0086427
0.535,0.0089407
0.536,0.011325
0.537,0.0092387
0.538,0.00029802
0.539,0.0
0.54,-0.0041723
0.541,-0.011325
0.542,-0.016093
0.543,-0.029206
0.544,-0.038147
0.545,-0.042915
0.546,-0.047386
0.547,-0.049472
0.548,-0.056028
0.549,-0.053346
0.55,-0.043511
0.551,-0.038743
0.552,-0.031888
0.553,-0.022948
0.554,-0.013113
0.555,-0.0080466
0.556,-0.011623
0.557,-0.013113
0.558,-0.016689
0.559,-0.022948
0.56,-0.025332
0.561,-0.028908
0.562,-0.037551
0.563,-0.047088
0.564,-0.041723
0.565,-0.028014
0.566,-0.01967
0.567,-0.012219
0.568,-0.0029802
0.569,0.0035763
0.57,0.0047684
0.571,0.011325
0.572,0.018179
0.573,0.018179
0.574,0.019073
0.575,0.016689
0.576,0.013709
0.577,0.012517
0.578,0.014603
0.579,0.017583
0.58,0.018775
0.581,0.027418
0.582,0.038147
0.583,0.046194
