time_s,amplitude
0.0,-0.064671
0.001000000000000334,-0.043511
0.0019999999999997797,-0.035763
0.0030000000000001137,-0.038147
0.0039999999999995595,-0.039637
0.004999999999999893,-0.033379
0.006000000000000227,-0.023842
0.006999999999999673,-0.023842
0.008000000000000007,-0.035465
0.009000000000000341,-0.037253
0.009999999999999787,-0.02861
0.01100000000000012,-0.020862
0.011999999999999567,-0.010729
0.0129999999999999,-0.010729
0.014000000000000234,-0.02861
0.01499999999999968,-0.037253
0.016000000000000014,-0.026524
0.017000000000000348,-0.020564
0.017999999999999794,-0.02563
0.019000000000000128,-0.03159
0.019999999999999574,-0.038743
0.020999999999999908,-0.05275
0.02200000000000024,-0.065565
0.022999999999999687,-0.075102
0.02400000000000002,-0.085533
0.025000000000000355,-0.080168
0.0259999999999998,-0.067949
0.027000000000000135,-0.066161
0.02799999999999958,-0.056922
0.028999999999999915,-0.038445
0.03000000000000025,-0.020862
0.030999999999999694,-0.00059605
0.03200000000000003,0.013709
0.03300000000000036,0.029802
0.03399999999999981,0.055432
0.03500000000000014,0.069141
0.03599999999999959,0.066459
0.03699999999999992,0.066757
0.038000000000000256,0.069141
0.0389999999999997,0.061691
0.040000000000000036,0.050068
0.04100000000000037,0.039935
0.041999999999999815,0.040233
0.04300000000000015,0.04828
0.043999999999999595,0.042021
0.04499999999999993,0.022352
0.04600000000000026,0.0032783
0.04699999999999971,-0.0062585
0.04800000000000004,-0.0053644
0.04900000000000038,-0.010133
0.04999999999999982,-0.019968
0.051000000000000156,-0.02563
0.0519999999999996,-0.036657
0.052999999999999936,-0.055134
0.05400000000000027,-0.069737
0.054999999999999716,-0.07093
0.05600000000000005,-0.065863
0.057000000000000384,-0.068247
0.05799999999999983,-0.075102
0.05900000000000016,-0.07838
0.05999999999999961,-0.076294
0.06099999999999994,-0.072718
0.06200000000000028,-0.074208
0.06299999999999972,-0.077784
0.06400000000000006,-0.086725
0.06500000000000039,-0.11027
0.06599999999999984,-0.13828
0.06700000000000017,-0.16153
0.06799999999999962,-0.17583
0.06899999999999995,-0.1812
0.07000000000000028,-0.18835
0.07099999999999973,-0.20057
0.07200000000000006,-0.21964
0.0730000000000004,-0.24348
0.07399999999999984,-0.2569
0.07500000000000018,-0.25213
0.07599999999999962,-0.23872
0.07699999999999996,-0.22173
0.07800000000000029,-0.19759
0.07899999999999974,-0.18001
0.08000000000000007,-0.17613
0.0810000000000004,-0.17613
0.08199999999999985,-0.17643
0.08300000000000018,-0.17285
0.08399999999999963,-0.1657
0.08499999999999996,-0.15914
0.0860000000000003,-0.15527
0.08699999999999974,-0.15169
0.08800000000000008,-0.14067
0.08900000000000041,-0.11951
0.08999999999999986,-0.097454
0.09100000000000019,-0.083745
0.09199999999999964,-0.067651
0.09299999999999997,-0.042915
0.0940000000000003,-0.014305
0.09499999999999975,0.010729
0.09600000000000009,0.029504
0.09700000000000042,0.056922
